date-time,open,high,low,close,quantity,dont-know
2019-12-19T00:00:00+0530,744.0,744.0,744.0,744.0,1,1
2019-12-20T00:00:00+0530,744.0,744.0,744.0,744.0,0,1
2019-12-23T00:00:00+0530,753.0,753.0,753.0,753.0,0,1
2019-12-24T00:00:00+0530,757.0,757.0,757.0,757.0,1,2
2019-12-26T00:00:00+0530,768.8,787.0,768.8,780.0,13,11
2019-12-27T00:00:00+0530,789.0,803.3,778.0,800.2,69,69
2019-12-30T00:00:00+0530,796.5,803.9,796.5,801.2,5,73
2019-12-31T00:00:00+0530,800.9,801.4,788.4,789.2,39,40
2020-01-01T00:00:00+0530,791.0,810.0,791.0,807.9,32,54
2020-01-02T00:00:00+0530,809.3,824.0,803.5,821.8,59,81
2020-01-03T00:00:00+0530,818.6,818.6,808.0,813.1,5,81
2020-01-06T00:00:00+0530,807.0,807.0,788.8,796.5,35,82
2020-01-07T00:00:00+0530,805.3,811.7,801.9,810.5,58,102
2020-01-08T00:00:00+0530,807.3,834.5,805.7,829.6,317,286
2020-01-09T00:00:00+0530,838.8,841.5,831.1,833.3,429,417
2020-01-10T00:00:00+0530,832.8,845.8,832.8,843.7,533,516
2020-01-13T00:00:00+0530,839.6,841.6,830.5,835.2,220,541
2020-01-14T00:00:00+0530,832.3,832.4,816.0,821.4,359,642
2020-01-15T00:00:00+0530,823.5,826.0,797.0,803.1,210,660
2020-01-16T00:00:00+0530,802.5,802.5,779.1,785.8,483,849
2020-01-17T00:00:00+0530,790.1,790.1,768.5,774.7,194,851
2020-01-20T00:00:00+0530,783.4,793.9,779.0,792.8,228,887
2020-01-21T00:00:00+0530,780.1,788.0,772.8,774.0,255,887
2020-01-22T00:00:00+0530,775.2,789.8,765.1,788.5,392,1001
2020-01-23T00:00:00+0530,785.5,788.5,778.0,783.3,362,1011
2020-01-24T00:00:00+0530,779.4,780.0,762.5,763.9,438,1167
2020-01-27T00:00:00+0530,754.7,761.4,734.5,742.3,646,1354
2020-01-28T00:00:00+0530,724.7,764.5,724.5,749.7,847,1589
2020-01-29T00:00:00+0530,768.0,771.0,755.0,757.1,263,1632
2020-01-30T00:00:00+0530,751.1,754.0,737.3,740.1,1024,1878
2020-01-31T00:00:00+0530,736.1,740.0,734.5,737.5,206,1918
2020-02-01T00:00:00+0530,740.0,749.4,723.6,732.7,1301,2208
2020-02-03T00:00:00+0530,737.0,737.5,715.7,720.6,1020,2304
2020-02-04T00:00:00+0530,727.0,742.2,720.0,739.7,1106,2448
2020-02-05T00:00:00+0530,748.0,763.5,745.0,753.9,2484,2146
2020-02-06T00:00:00+0530,757.1,763.3,742.1,744.0,2040,2011
2020-02-07T00:00:00+0530,744.5,754.8,741.0,745.4,1190,2096
2020-02-10T00:00:00+0530,747.4,748.5,731.7,736.3,683,2241
2020-02-11T00:00:00+0530,737.0,739.9,718.5,726.3,1870,2390
2020-02-12T00:00:00+0530,720.0,733.0,715.6,731.4,2588,3050
2020-02-13T00:00:00+0530,725.0,735.3,711.1,717.3,1883,3198
2020-02-14T00:00:00+0530,718.6,722.0,707.0,710.1,1876,3390
2020-02-17T00:00:00+0530,709.5,715.2,702.7,706.3,1495,3572
2020-02-18T00:00:00+0530,704.6,711.0,699.0,709.8,2170,4014
2020-02-19T00:00:00+0530,707.1,710.4,686.3,688.5,2696,4665
2020-02-20T00:00:00+0530,689.9,693.0,676.1,687.6,4156,5049
2020-02-21T00:00:00+0530,692.6,702.3,692.1,701.0,805,5087
2020-02-24T00:00:00+0530,699.0,702.8,681.0,682.7,2662,5480
2020-02-25T00:00:00+0530,677.7,683.6,667.4,669.9,3644,5641
2020-02-26T00:00:00+0530,672.9,677.3,664.6,668.6,3617,6112
2020-02-27T00:00:00+0530,670.5,681.6,665.3,667.7,2723,6221
2020-02-28T00:00:00+0530,661.3,661.3,645.0,648.6,4584,6412
2020-03-02T00:00:00+0530,655.0,660.0,633.0,635.3,3435,6388
2020-03-03T00:00:00+0530,635.1,660.7,632.9,659.3,4766,6037
2020-03-04T00:00:00+0530,656.1,682.9,654.0,680.2,5460,5848
2020-03-05T00:00:00+0530,676.9,696.4,673.6,682.5,4839,4957
2020-03-06T00:00:00+0530,679.5,680.0,665.4,669.0,2157,4749
2020-03-09T00:00:00+0530,649.0,649.0,642.3,647.0,2539,4605
