ema_3,ema_5,ema_8,ema_10,ema_12,ema_13,ema_15,ema_20,ema_26,ema_30,ema_35,ema_40,ema_45,ema_50,ema_60,ema_70,ema_80,ema_90,ema_100,ema_110,ema_120,ema_130,ema_140,ema_150,ema_160,ema_170,ema_180,ema_190,ema_200
2838.75,2102.8888888888887,1495.4320987654319,1251.3553719008264,1075.1360946745563,1004.2857142857142,887.203125,686.6984126984127,540.0356652949245,472.6888657648283,408.9228395061728,360.3057703747769,322.01512287334594,291.0780469050365,244.1585595270089,210.26264630033725,184.62947721383932,164.5663567202029,148.43583962356632,135.1849687525363,124.1058670855816,114.70508711613542,106.62813741763492,99.61378886890927,93.46529840669726,88.03166786361615,83.19507951527731,78.86225706532167,74.95839211900696
2839.5,2103.222222222222,1495.5802469135801,1251.4545454545455,1075.207100591716,1004.3469387755102,887.25,686.7256235827664,540.0521262002743,472.7013527575442,408.9320987654321,360.31290898274835,322.02079395085065,291.0826605151865,244.16178446654126,210.26502678040072,184.63130620332265,164.56780582055308,148.4370159788256,135.1859426994562,124.10668670172802,114.7057863760853,106.62874100900356,99.61431516161572,93.4657613517997,88.032078246298,83.19544580446262,78.86258600367314,74.9586891413579
2843.75,2106.222222222222,1497.6543209876543,1253.1735537190084,1076.6745562130177,1005.7142857142858,888.453125,687.6507936507936,540.7764060356652,473.3340270551509,409.4783950617284,360.7935752528257,322.4499054820416,291.47020376778164,244.4864283794679,210.54433644118234,184.87639079408626,164.78613693998312,148.63385942554652,135.3651489327165,124.27115634177994,114.85775887186061,106.76998138926612,99.74623920003509,93.58952200918174,88.14862692794364,83.30557675284638,78.9669691072065,75.05789460656915
2846.5,2108.4444444444443,1499.3086419753085,1254.5785123966944,1077.8934911242604,1006.8571428571429,889.46875,688.4444444444443,541.4046639231824,473.88553590010406,409.9567901234568,361.21594289113625,322.82797731568996,291.81237985390237,244.7739854877721,210.79230311446145,185.09434537418076,164.98055790363483,148.80933241839034,135.52503855206558,124.41800423468342,114.99353184546354,106.89623258387405,99.86421648173325,93.70024304617877,88.25293252624738,83.40416959189281,79.06044242208273,75.14675379322294
2846.5,2108.5555555555557,1499.4320987654319,1254.6942148760331,1078.0,1006.9591836734694,889.5625,688.5215419501133,541.4677640603566,473.9417273673257,410.0061728395061,361.2599643069601,322.86767485822304,291.84851980007693,244.80462241332975,210.81888514183694,185.11781740588324,165.00156985871274,148.82835016174886,135.54240727213698,124.43398674953897,115.00833284773614,106.9100145867914,99.87711065304154,93.71235677635893,88.26435484422556,83.41497512285949,79.07069433403692,75.15650602707854
2845.75,2108.0,1499.037037037037,1254.3636363636365,1077.7159763313612,1006.6938775510205,889.328125,688.3401360544217,541.3251028806584,473.81685744016653,409.89814814814815,361.1647828673409,322.7826086956522,291.7716262975779,244.7401236226821,210.76334060702243,185.06904435299498,164.95809684820676,148.78913831977258,135.50669588507424,124.40120210368144,114.97803158324106,106.88184698958804,99.85079601771852,93.68766637089618,88.24109982558736,83.3929977717408,79.04986157177709,75.13670453701641
2843.5,2106.4444444444443,1497.9753086419753,1253.4876033057851,1076.9704142011835,1006.0,888.71875,687.8730158730158,540.9602194787379,473.4984391259105,409.62345679012344,360.92325996430696,322.5671077504726,291.5770857362553,244.5772641762967,210.62328902995438,184.9461972260326,164.84868977176671,148.69052053720225,135.41693044395748,124.31883068096442,114.90192879202843,106.81112620089532,99.78474628305776,93.62570888468808,88.18275708765088,83.33787124935137,78.99761519695184,75.08705230068563
2840.5,2104.222222222222,1496.395061728395,1252.1652892561983,1075.8343195266273,1004.9387755102041,887.78125,687.1473922902494,540.3895747599452,472.9989594172737,409.19135802469134,360.54253420582984,322.22684310018906,291.2695117262591,244.319269013706,210.40111089069632,184.7511050144795,164.6747977297428,148.53367316929712,135.2740848957065,124.18769209753432,114.78072373404812,106.69845581208187,99.67948774176571,93.52694726283707,88.08973701309804,83.24996184487652,78.91428414791261,75.00784634043713
2838.5,2102.6666666666665,1495.2592592592591,1251.2066115702478,1075.0059171597634,1004.1632653061224,887.09375,686.6122448979592,539.9670781893004,472.62851196670135,408.8703703703703,360.25936942296255,321.9735349716446,291.040369088812,244.1268476216071,210.23527077960722,184.60539551897574,164.54486173167493,148.41642976178807,135.16727538349159,124.0896113653439,114.69005302721285,106.61415421759469,99.60071926669883,93.45303036148294,88.02010875141069,83.1841518879155,78.85189550725035,74.94854087770105
2840.0,2103.5555555555557,1495.8024691358023,1251.6363636363635,1075.3609467455622,1004.4897959183673,887.375,686.8208616780046,540.1262002743483,472.76586888657647,408.98765432098764,360.36168947055324,322.0642722117202,291.12187620146096,244.19457135178715,210.29319579448523,184.65599756134733,164.58978384253112,148.45681795902362,135.20396071747422,124.12321562734786,114.72105355165782,106.64292540616668,99.6275601947283,93.47818371204814,88.04377415273075,83.20649552821953,78.87305720786162,74.9686393901141
2842.0,2105.111111111111,1496.938271604938,1252.595041322314,1076.189349112426,1005.2653061224489,888.0625,687.3560090702947,540.5486968449931,473.1363163371488,409.3086419753086,360.6448542534206,322.3175803402646,291.3510188389081,244.38699274388608,210.4590359055743,184.8017070568511,164.71971984059897,148.5740613665327,135.31077022968913,124.22129635953829,114.81172425849309,106.72722700065388,99.7063286697952,93.55210061340225,88.1134024144181,83.27230548518055,78.9354458485239,75.02794485285018
2839.5,2103.5555555555557,1495.9506172839506,1251.8016528925618,1075.526627218935,1004.6530612244899,887.53125,686.9569160997733,540.2414266117969,472.86992715920917,409.0802469135802,360.4449732302201,322.13988657844993,291.1910803537101,244.2536952432142,210.3447728625273,184.7017222984301,164.63084168578675,148.49406920890107,135.23804885967047,124.15463424629465,114.75018938290307,106.67008701775563,99.65299767554055,93.50210254234017,88.06634520023255,83.22786239736271,78.89334173953566,74.98794584292469
2840.5,2103.8888888888887,1496.0246913580245,1251.8181818181818,1075.5147928994083,1004.6326530612245,887.5,686.9160997732426,540.2002743484225,472.8303850156087,409.0432098765432,360.41046995835814,322.10775047258977,291.1610918877355,244.22735823703306,210.32136480856974,184.68068891937202,164.61176186450913,148.47661993922162,135.22197873549226,124.1397445529677,114.73632072723034,106.6571098033298,99.64080522784089,93.49060607229659,88.0554700591635,83.21754525197643,78.88352841205011,74.97858963887033
2840.25,2104.0,1496.2222222222222,1252.0165289256197,1075.7041420118344,1004.8163265306121,887.671875,687.0612244897959,540.320987654321,472.93860561914676,409.13888888888886,360.4961332540155,322.1852551984877,291.23183391003465,244.2875571083042,210.37373536996628,184.7270233196159,164.65330274121484,148.5142633075189,135.2563915266618,124.17143637729663,114.76568964512558,106.68447261204165,99.66641813955529,93.51467921762277,88.07817790089257,83.23903421751473,78.9039225898413,74.99799509913122
2840.0,2103.6666666666665,1495.9259259259259,1251.7520661157025,1075.4674556213017,1004.5918367346939,887.46875,686.8979591836735,540.1893004115226,472.8220603537981,409.037037037037,360.40571088637716,322.1039697542533,291.1580161476355,244.22520827734482,210.31977782186075,184.67946959304982,164.610795797609,148.47583570238214,135.22132943754565,124.13919814220341,114.73585455393042,106.65670740908405,99.64045436603658,93.4902974422283,88.05519647070892,83.21730105918623,78.88330911981579,74.97839162396971
2842.25,2105.222222222222,1496.9876543209875,1252.6280991735537,1076.2130177514794,1005.2857142857142,888.078125,687.3650793650793,540.5541838134429,473.14047866805413,409.31172839506166,360.6472337894111,322.3194706994329,291.3525567089581,244.3880677237302,210.45982939892878,184.8023167200122,164.72020287404905,148.57445348495247,135.31109487866246,124.22156956492043,114.81195734514304,106.72742819777676,99.70650410069734,93.5522549284364,88.11353920864539,83.27242758157566,78.93555549464105,75.0280438603005
2846.25,2108.111111111111,1499.0123456790122,1254.314049586777,1077.6568047337278,1006.6326530612246,889.265625,688.2811791383219,541.2729766803841,473.7689906347555,409.85493827160485,361.1255205234979,322.7466918714556,291.73856209150324,244.7116366568127,210.7383455663559,185.04679164761467,164.938050960029,148.7709048132536,135.48997646294941,124.3857659995902,114.9636967542684,106.86846738091646,99.83825270821455,93.6758612707843,88.22995109606373,83.3824364335643,79.03982895205723,75.12715031806144
2848.75,2110.111111111111,1500.4938271604938,1255.5702479338843,1078.7455621301774,1007.6530612244899,890.171875,688.9886621315193,541.832647462277,474.26014568158166,410.28086419753083,361.501487209994,323.08317580340264,292.04306036139945,244.96748185971512,210.958936718905,185.24066453284559,165.1109769351528,148.9269679443192,135.6321727132538,124.51635817225599,115.08443563894878,106.98073537548413,99.94316038770229,93.77431426256702,88.32269758216202,83.47010164524892,79.12294070886216,75.20615826340932
2850.75,2111.5555555555557,1501.506172839506,1256.4132231404958,1079.4674556213017,1008.3265306122448,890.765625,689.4467120181405,542.1920438957476,474.57440166493234,410.5524691358024,361.74063057703745,323.29678638941397,292.2360630526721,245.12926632625638,211.09819480261854,185.36290199664685,165.21990097814273,149.02519360846975,135.72161350539727,124.59845638959088,115.16030534351145,107.05125496705398,100.0090346914609,93.83611743374098,88.3809035258712,83.52510607124324,79.17507743757025,75.25571149228979
2849.0,2110.5555555555557,1500.9135802469136,1255.9504132231405,1079.0887573964496,1007.9795918367347,890.46875,689.2290249433106,542.0274348422497,474.4328824141519,410.43209876543204,361.63593099345627,323.20415879017014,292.1530180699731,245.0604676162322,211.03947629438605,185.31169029111413,165.1744958338365,148.98441329281442,135.68460352244136,124.56457892220476,115.12907173241652,107.0222825813591,99.98201833252926,93.81080976814165,88.35710133032386,83.50264033454411,79.15380609084181,75.23551397242642
2842.75,2106.111111111111,1497.8271604938273,1253.3884297520663,1076.8994082840236,1005.9387755102041,888.671875,687.845804988662,540.9437585733881,473.4859521331946,409.6141975308642,360.9161213563355,322.56143667296783,291.57247212610537,244.57403923676432,210.6209085498909,184.94436823654928,164.8472406714165,148.68934418194294,135.41595649703757,124.31801106481798,114.90122953207855,106.81052260952669,99.7842199903513,93.62524593958565,88.18234670496904,83.33750496016606,78.99728625860037,75.08675527833469
