lwma_10,lwma_12,lwma_13,lwma_20,lwma_26,lwma_30,lwma_40,lwma_50,lwma_60,lwma_70,lwma_80,lwma_90,lwma_100,lwma_110,lwma_120,lwma_130,lwma_140,lwma_150,lwma_160,lwma_170,lwma_180,lwma_190,lwma_200
3787.490909090909,3787.5384615384614,3787.4725274725274,3786.9285714285716,3786.811965811966,3786.883870967742,,,,,,,,,,,,,,,,,
3787.4363636363637,3787.6153846153848,3787.6043956043954,3787.057142857143,3786.903133903134,3786.92688172043,,,,,,,,,,,,,,,,,
3787.090909090909,3787.3333333333335,3787.3846153846152,3786.995238095238,3786.8490028490028,3786.8494623655915,,,,,,,,,,,,,,,,,
3787.3818181818183,3787.474358974359,3787.5714285714284,3787.233333333333,3787.025641025641,3786.978494623656,,,,,,,,,,,,,,,,,
3787.5272727272727,3787.5,3787.5494505494507,3787.3714285714286,3787.119658119658,3787.0451612903225,,,,,,,,,,,,,,,,,
3788.0363636363636,3787.871794871795,3787.8571428571427,3787.695238095238,3787.3618233618236,3787.2451612903224,,,,,,,,,,,,,,,,,
3787.9636363636364,3787.7948717948716,3787.747252747253,3787.7,3787.3675213675215,3787.249462365591,3787.29756097561,,,,,,,,,,,,,,,,
3787.327272727273,3787.269230769231,3787.252747252747,3787.404761904762,3787.1481481481483,3787.064516129032,3787.120731707317,,,,,,,,,,,,,,,,
3787.2545454545457,3787.25641025641,3787.230769230769,3787.385714285714,3787.162393162393,3787.0774193548386,3787.0951219512194,,,,,,,,,,,,,,,,
3788.4,3788.3076923076924,3788.21978021978,3788.0095238095237,3787.7008547008545,3787.5440860215053,3787.410975609756,,,,,,,,,,,,,,,,
3789.836363636364,3789.551282051282,3789.4065934065934,3788.7761904761905,3788.3703703703704,3788.1204301075268,3787.819512195122,,,,,,,,,,,,,,,,
3790.9454545454546,3790.4871794871797,3790.3296703296705,3789.385714285714,3788.940170940171,3788.610752688172,3788.1743902439025,,,,,,,,,,,,,,,,
3791.7454545454543,3791.2051282051284,3790.989010989011,3789.885714285714,3789.4017094017095,3789.021505376344,3788.4768292682925,,,,,,,,,,,,,,,,
3791.672727272727,3791.230769230769,3791.032967032967,3789.9904761904763,3789.5384615384614,3789.163440860215,3788.5817073170733,,,,,,,,,,,,,,,,
3790.8545454545456,3790.6153846153848,3790.4835164835163,3789.7190476190476,3789.356125356125,3789.043010752688,3788.491463414634,,,,,,,,,,,,,,,,
3789.7090909090907,3789.6923076923076,3789.6703296703295,3789.266666666667,3789.014245014245,3788.7956989247314,3788.308536585366,,,,,,,,,,,,,,,,
