SMA_3,SMA_5,SMA_8,SMA_10,SMA_12,SMA_13,SMA_15,SMA_20,SMA_26,SMA_30,SMA_35,SMA_40,SMA_45,SMA_50,SMA_60,SMA_70,SMA_80,SMA_90,SMA_100,SMA_110,SMA_120,SMA_130,SMA_140,SMA_150,SMA_160,SMA_170,SMA_180,SMA_190
3786.3333333333335,3786.8,3787.875,3788.7,3789.0833333333335,3788.923076923077,3536.266666666667,2652.2,2040.1538461538462,1768.1333333333334,1515.5428571428572,1326.1,1178.7555555555555,1060.88,884.0666666666667,757.7714285714286,663.05,589.3777777777777,530.44,482.2181818181818,442.03333333333336,408.03076923076924,378.8857142857143,353.62666666666667,331.525,312.0235294117647,294.68888888888887,279.17894736842106
3786.3333333333335,3786.6,3787.625,3788.3,3788.9166666666665,3789.0,3788.8,2841.6,2185.846153846154,1894.4,1623.7714285714285,1420.8,1262.9333333333334,1136.64,947.2,811.8857142857142,710.4,631.4666666666667,568.32,516.6545454545454,473.6,437.16923076923075,405.9428571428571,378.88,355.2,334.3058823529412,315.73333333333335,299.11578947368423
3787.6666666666665,3787.2,3787.5,3788.0,3788.6666666666665,3788.923076923077,3788.866666666667,3031.05,2331.576923076923,2020.7,1732.0285714285715,1515.525,1347.1333333333334,1212.42,1010.35,866.0142857142857,757.7625,673.5666666666667,606.21,551.1,505.175,466.31538461538463,433.00714285714287,404.14,378.88125,356.59411764705885,336.78333333333336,319.0578947368421
3788.3333333333335,3787.2,3787.375,3787.8,3788.3333333333335,3788.6153846153848,3788.9333333333334,3220.45,2477.269230769231,2146.9666666666667,1840.2571428571428,1610.225,1431.3111111111111,1288.18,1073.4833333333333,920.1285714285714,805.1125,715.6555555555556,644.09,585.5363636363636,536.7416666666667,495.45384615384614,460.0642857142857,429.3933333333333,402.55625,378.8764705882353,357.8277777777778,338.9947368421053
3788.0,3787.6,3787.125,3787.5,3787.9166666666665,3788.230769230769,3788.733333333333,3409.8,2622.923076923077,2273.2,1948.4571428571428,1704.9,1515.4666666666667,1363.92,1136.6,974.2285714285714,852.45,757.7333333333333,681.96,619.9636363636364,568.3,524.5846153846154,487.1142857142857,454.64,426.225,401.15294117647056,378.8666666666667,358.9263157894737
3786.0,3787.0,3786.75,3786.9,3787.3333333333335,3787.5384615384614,3788.133333333333,3598.95,2768.423076923077,2399.3,2056.542857142857,1799.475,1599.5333333333333,1439.58,1199.65,1028.2714285714285,899.7375,799.7666666666667,719.79,654.3545454545455,599.825,553.6846153846154,514.1357142857142,479.86,449.86875,423.40588235294115,399.8833333333333,378.83684210526314
3784.6666666666665,3786.2,3786.25,3786.4,3786.8333333333335,3787.076923076923,3787.6,3788.15,2913.9615384615386,2525.4333333333334,2164.657142857143,1894.075,1683.6222222222223,1515.26,1262.7166666666667,1082.3285714285714,947.0375,841.8111111111111,757.63,688.7545454545455,631.3583333333333,582.7923076923076,541.1642857142857,505.08666666666664,473.51875,445.66470588235296,420.90555555555557,398.7526315789474
3783.0,3784.8,3785.875,3786.0,3786.25,3786.4615384615386,3786.9333333333334,3787.85,3059.423076923077,2651.5,2272.714285714286,1988.625,1767.6666666666667,1590.9,1325.75,1136.357142857143,994.3125,883.8333333333334,795.45,723.1363636363636,662.875,611.8846153846154,568.1785714285714,530.3,497.15625,467.9117647058824,441.9166666666667,418.6578947368421
3782.6666666666665,3783.6,3785.375,3785.4,3785.6666666666665,3785.923076923077,3786.4,3787.6,3204.8846153846152,2777.5666666666666,2380.7714285714287,2083.175,1851.7111111111112,1666.54,1388.7833333333333,1190.3857142857144,1041.5875,925.8555555555556,833.27,757.5181818181818,694.3916666666667,640.9769230769231,595.1928571428572,555.5133333333333,520.79375,490.1588235294118,462.9277777777778,438.56315789473683
3782.6666666666665,3783.0,3784.875,3785.3,3785.5,3785.5384615384614,3786.0,3787.3,3350.423076923077,2903.7,2488.885714285714,2177.775,1935.8,1742.22,1451.85,1244.442857142857,1088.8875,967.9,871.11,791.9181818181818,725.925,670.0846153846154,622.2214285714285,580.74,544.44375,512.4176470588235,483.95,458.4789473684211
