close_mean60,close_mean50,close_mean40,close_mean30,close_mean20,close_mean10
33.45833333333334,33.932,34.3175,34.833333333333336,35.55,36.22
33.55333333333334,34.025000000000006,34.407500000000006,34.95,35.6625,36.235
33.65500000000001,34.117000000000004,34.5075,35.074999999999996,35.785,36.26
33.75416666666667,34.205,34.599999999999994,35.18333333333332,35.89999999999999,36.275
33.85,34.284,34.69624999999999,35.28833333333333,36.012499999999996,36.324999999999996
33.94083333333334,34.367000000000004,34.78874999999999,35.38999999999999,36.08,36.36
34.02333333333334,34.441,34.872499999999995,35.48,36.12499999999999,36.370000000000005
34.108333333333334,34.51500000000001,34.959999999999994,35.57833333333333,36.21,36.335
34.18833333333334,34.589000000000006,35.04875,35.67333333333333,36.275000000000006,36.36
34.264166666666675,34.659000000000006,35.135000000000005,35.76166666666667,36.330000000000005,36.37
